TOPIC,DESCRIPTION,,Count,
Mother tongue,"            Italic (Romance) languages, n.i.e.",,15,
Mother tongue,"          Indo-European languages, n.i.e.",,55,
Mother tongue,        Japanese,,2195,
Mother tongue,        Korean,,10205,
Mother tongue,        Mongolian,,450,
Mother tongue,        Niger-Congo languages,,5870,
Mother tongue,          Akan (Twi),,620,
Mother tongue,          Bamanankan,,10,
Mother tongue,          Edo,,90,
Mother tongue,          �w�,,50,
Mother tongue,"          Fulah (Pular, Pulaar, Fulfulde)",,80,
Mother tongue,          Ga,,35,
Mother tongue,          Ganda,,60,
Mother tongue,          Gikuyu,,55,
Mother tongue,          Igbo,,730,
Mother tongue,          Kinyarwanda (Rwanda),,190,
Mother tongue,          Lingala,,55,
Mother tongue,          Luba-Kasai,,25,
Mother tongue,          M�or�,,0,
Mother tongue,          Mwani,,115,
Mother tongue,          Ndebele,,85,
Mother tongue,          Rundi (Kirundi),,140,
Mother tongue,          Shona,,290,
Mother tongue,          Soninke,,10,
Mother tongue,          Sotho-Tswana languages,,35,
Mother tongue,          Swahili,,725,
Mother tongue,          Wojenaka,,5,
Mother tongue,          Wolof,,80,
Mother tongue,          Yoruba,,1685,
Mother tongue,"          Niger-Congo languages, n.i.e.",,700,
Mother tongue,        Nilo-Saharan languages,,1270,
Mother tongue,          Dinka,,535,
Mother tongue,          Nuer,,375,
Mother tongue,"          Nilo-Saharan languages, n.i.e.",,305,
Mother tongue,"          African, n.o.s.",,55,
Mother tongue,        Sign languages,,230,
Mother tongue,          American Sign Language,,185,
Mother tongue,          Quebec Sign Language,,0,
Mother tongue,"          Sign languages, n.i.e.",,45,
Mother tongue,        Sino-Tibetan languages,,67255,
Mother tongue,          Chinese languages,,65980,
Mother tongue,            Hakka,,280,
Mother tongue,            Mandarin,,31270,
Mother tongue,            Min Dong,,30,
Mother tongue,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,1205,
Mother tongue,            Wu (Shanghainese),,250,
Mother tongue,            Yue (Cantonese),,32065,
Mother tongue,"            Chinese, n.o.s.",,840,
Mother tongue,"            Chinese languages, n.i.e.",,40,
Mother tongue,          Tibeto-Burman languages,,1235,
Mother tongue,            Burmese,,255,
Mother tongue,            Kuki-Chin languages,,90,
Mother tongue,            Karenic languages,,220,
Mother tongue,              S'gaw Karen,,170,
Mother tongue,"              Karenic languages, n.i.e.",,55,
Mother tongue,            Tibetan,,635,
Mother tongue,"            Tibeto-Burman languages, n.i.e.",,35,
Mother tongue,"          Sino-Tibetan languages, n.i.e.",,45,
Mother tongue,        Tai-Kadai languages,,1070,
Mother tongue,          Lao,,415,
Mother tongue,          Thai,,620,
Mother tongue,"          Tai-Kadai languages, n.i.e.",,35,
Mother tongue,        Turkic languages,,1870,
Mother tongue,          Azerbaijani,,240,
Mother tongue,          Kazakh,,55,
Mother tongue,          Turkish,,1340,
Mother tongue,          Uyghur,,65,
Mother tongue,          Uzbek,,95,
Mother tongue,"          Turkic languages, n.i.e.",,65,
Mother tongue,        Uralic languages,,3070,
Mother tongue,          Estonian,,70,
Mother tongue,          Finnish,,240,
Mother tongue,          Hungarian,,2765,
Mother tongue,"        Other languages, n.i.e.",,60,
Mother tongue,  Multiple responses,,66660,
Mother tongue,    English and French,,5245,
Mother tongue,    English and non-official language(s),,53970,
Mother tongue,    French and non-official language(s),,1145,
Mother tongue,"    English, French and non-official language(s)",,1015,
Mother tongue,    Multiple non-official languages,,5295,
All languages spoken at home,Total - All languages spoken at home for the total population excluding institutional residents - 100% data,40,1296120,
All languages spoken at home,  English,,858205,
All languages spoken at home,  French,,3800,
All languages spoken at home,  Non-official language,,119530,
All languages spoken at home,    Indigenous,39,45,
All languages spoken at home,    Non-Indigenous,,119485,
All languages spoken at home,  English and French,,12035,
All languages spoken at home,  English and non-official language(s),,283170,
All languages spoken at home,  French and non-official language(s),,525,
All languages spoken at home,"  English, French and non-official language(s)",,6990,
All languages spoken at home,  Multiple non-official languages,,11860,
Language spoken most often at home,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,41,1296120,
Language spoken most often at home,  Single responses,,1226245,
Language spoken most often at home,    Official languages,,983495,
Language spoken most often at home,      English,,977675,
Language spoken most often at home,      French,,5820,
Language spoken most often at home,    Non-official languages,,242750,
Language spoken most often at home,      Indigenous languages,39,105,
Language spoken most often at home,        Algonquian languages,,65,
Language spoken most often at home,          Blackfoot,,35,
Language spoken most often at home,          Cree-Innu languages,,25,
Language spoken most often at home,            Atikamekw,,0,
Language spoken most often at home,            Cree languages,,25,
Language spoken most often at home,              Ililimowin (Moose Cree),,0,
Language spoken most often at home,              Inu Ayimun (Southern East Cree),,0,
Language spoken most often at home,              Iyiyiw-Ayimiwin (Northern East Cree),,0,
Language spoken most often at home,              Nehinawewin (Swampy Cree),,0,
Language spoken most often at home,              Nehiyawewin (Plains Cree),,5,
Language spoken most often at home,              Nihithawiwin (Woods Cree),,5,
Language spoken most often at home,"              Cree, n.o.s.",,15,
Language spoken most often at home,            Innu (Montagnais),,0,
Language spoken most often at home,            Naskapi,,0,
Language spoken most often at home,          Eastern Algonquian languages,,0,
Language spoken most often at home,            Mi'kmaq,,0,
Language spoken most often at home,            Wolastoqewi (Malecite),,0,
Language spoken most often at home,          Ojibway-Potawatomi languages,,10,
Language spoken most often at home,            Anicinabemowin (Algonquin),,0,
Language spoken most often at home,            Oji-Cree,,0,
Language spoken most often at home,            Ojibway languages,,10,
Language spoken most often at home,              Anishinaabemowin (Chippewa),,0,
Language spoken most often at home,              Daawaamwin (Odawa),,0,
Language spoken most often at home,              Saulteau (Western Ojibway),,0,
Language spoken most often at home,"              Ojibway, n.o.s.",,5,
Language spoken most often at home,"          Algonquian languages, n.i.e.",,0,
Language spoken most often at home,        Athabaskan languages,,10,
Language spoken most often at home,          Northern Athabaskan languages,,10,
Language spoken most often at home,            Dakelh (Carrier),,0,
Language spoken most often at home,            Dane-zaa (Beaver),,0,
Language spoken most often at home,"            Dene, n.o.s.",,5,
Language spoken most often at home,            Gwich'in,,0,
Language spoken most often at home,            Slavey-Hare languages,,0,
Language spoken most often at home,              Deh Gah Ghotie Zhatie (South Slavey),,0,
Language spoken most often at home,              Satuotine Yati (North Slavey),,0,
Language spoken most often at home,"              Slavey, n.o.s.",,0,
Language spoken most often at home,            Tahltan languages,,0,
Language spoken most often at home,              Kaska (Nahani),,0,
Language spoken most often at home,              Tahltan,,0,
Language spoken most often at home,            Tlicho (Dogrib),,0,
Language spoken most often at home,            Tse'khene (Sekani),,0,
Language spoken most often at home,            Tsilhqot'in (Chilcotin),,0,
Language spoken most often at home,            Tsuu T'ina (Sarsi),,0,
Language spoken most often at home,            Tutchone languages,,0,
Language spoken most often at home,              Northern Tutchone,,0,
Language spoken most often at home,              Southern Tutchone,,0,
Language spoken most often at home,"              Tutchone, n.o.s.",,0,
Language spoken most often at home,            Wetsuwet'en-Babine,,0,
Language spoken most often at home,          Tlingit,,0,
Language spoken most often at home,"          Athabaskan languages, n.i.e.",,0,
Language spoken most often at home,        Haida,,0,
Language spoken most often at home,        Inuktut (Inuit) languages,,0,
Language spoken most often at home,          Inuinnaqtun (Inuvialuktun),,0,
Language spoken most often at home,            Inuinnaqtun,,0,
Language spoken most often at home,            Inuvialuktun,,0,
Language spoken most often at home,          Inuktitut,,0,
Language spoken most often at home,"          Inuktut (Inuit) languages, n.i.e.",,0,
Language spoken most often at home,        Iroquoian languages,,0,
Language spoken most often at home,          Cayuga,,0,
Language spoken most often at home,          Mohawk,,0,
Language spoken most often at home,          Oneida,,0,
Language spoken most often at home,"          Iroquoian languages, n.i.e.",,0,
Language spoken most often at home,        Ktunaxa (Kutenai),,0,
Language spoken most often at home,        Michif,,0,
Language spoken most often at home,        Salish languages,,5,
Language spoken most often at home,          Halkomelem,,0,
Language spoken most often at home,          Lillooet,,0,
Language spoken most often at home,          Ntlakapamux (Thompson),,0,
Language spoken most often at home,          Secwepemctsin (Shuswap),,0,
Language spoken most often at home,          Squamish,,0,
Language spoken most often at home,          Straits,,0,
Language spoken most often at home,          Syilx (Okanagan),,0,
Language spoken most often at home,"          Salish languages, n.i.e.",,0,
Language spoken most often at home,        Siouan languages,,20,
Language spoken most often at home,          Assiniboine,,0,
Language spoken most often at home,          Dakota,,0,
Language spoken most often at home,          Stoney,,20,
Language spoken most often at home,"          Siouan languages, n.i.e.",,0,
Language spoken most often at home,        Tsimshian languages,,0,
Language spoken most often at home,          Gitxsan (Gitksan),,0,
Language spoken most often at home,          Nisga'a,,0,
Language spoken most often at home,          Tsimshian,,0,
Language spoken most often at home,        Wakashan languages,,0,
Language spoken most often at home,          Haisla,,0,
Language spoken most often at home,          Heiltsuk,,0,
Language spoken most often at home,          Kwak'wala (Kwakiutl),,0,
Language spoken most often at home,          Nuu-chah-nulth (Nootka),,0,
Language spoken most often at home,"          Wakashan languages, n.i.e.",,0,
Language spoken most often at home,"        Indigenous languages, n.i.e.",,0,
Language spoken most often at home,"        Indigenous languages, n.o.s.",,0,
Language spoken most often at home,      Non-Indigenous languages,,242650,
Language spoken most often at home,        Afro-Asiatic languages,,21960,
Language spoken most often at home,          Berber languages,,45,
Language spoken most often at home,            Kabyle,,35,
Language spoken most often at home,            Tamazight,,5,
Language spoken most often at home,"            Berber languages, n.i.e.",,5,
Language spoken most often at home,          Chadic languages,,25,
Language spoken most often at home,            Hausa,,25,
Language spoken most often at home,            Mina,,0,
Language spoken most often at home,          Coptic,,15,
Language spoken most often at home,          Cushitic languages,,2135,
Language spoken most often at home,            Bilen,,130,
Language spoken most often at home,            Oromo,,995,
Language spoken most often at home,            Somali,,1010,
Language spoken most often at home,"            Cushitic languages, n.i.e.",,0,
Language spoken most often at home,          Semitic languages,,19740,
Language spoken most often at home,            Amharic,,2800,
Language spoken most often at home,            Arabic,,12395,
Language spoken most often at home,            Aramaic languages,,485,
Language spoken most often at home,              Assyrian Neo-Aramaic,,250,
Language spoken most often at home,              Chaldean Neo-Aramaic,,150,
Language spoken most often at home,"              Aramaic, n.o.s.",,85,
Language spoken most often at home,            Harari,,25,
Language spoken most often at home,            Hebrew,,235,
Language spoken most often at home,            Maltese,,5,
Language spoken most often at home,            Tigrigna,,3765,
Language spoken most often at home,"            Semitic languages, n.i.e.",,25,
Language spoken most often at home,        Austro-Asiatic languages,,9355,
Language spoken most often at home,          Khmer (Cambodian),,430,
Language spoken most often at home,          Vietnamese,,8840,
Language spoken most often at home,"          Austro-Asiatic languages, n.i.e",,80,
Language spoken most often at home,        Austronesian languages,,32480,
Language spoken most often at home,          Bikol,,75,
Language spoken most often at home,"          Bisaya, n.o.s.",,470,
Language spoken most often at home,          Cebuano,,1090,
Language spoken most often at home,          Fijian,,10,
Language spoken most often at home,          Hiligaynon,,520,
Language spoken most often at home,          Ilocano,,2135,
Language spoken most often at home,          Indonesian,,225,
Language spoken most often at home,          Kankanaey,,110,
Language spoken most often at home,          Kinaray-a,,50,
Language spoken most often at home,          Malagasy languages,,15,
Language spoken most often at home,            Merina,,0,
Language spoken most often at home,"            Malagasy, n.o.s.",,15,
Language spoken most often at home,          Malay,,40,
Language spoken most often at home,"          Pampangan (Kapampangan, Pampango)",,240,
Language spoken most often at home,          Pangasinan,,50,
Language spoken most often at home,"          Tagalog (Pilipino, Filipino)",,27210,
Language spoken most often at home,          Waray-Waray,,70,
Language spoken most often at home,"          Austronesian languages, n.i.e.",,180,
Language spoken most often at home,        Creole languages,,325,
Language spoken most often at home,          Haitian Creole,,115,
Language spoken most often at home,          Jamaican English Creole,,10,
Language spoken most often at home,          Krio,,20,
Language spoken most often at home,          Morisyen,,70,
Language spoken most often at home,          Sango,,0,
Language spoken most often at home,"          Creole, n.o.s.",,70,
Language spoken most often at home,"          Creole languages, n.i.e.",,35,
Language spoken most often at home,        Dravidian languages,,4160,
Language spoken most often at home,          Kannada,,190,
Language spoken most often at home,          Malayalam,,1785,
Language spoken most often at home,          Tamil,,1395,
Language spoken most often at home,          Telugu,,760,
Language spoken most often at home,          Tulu,,30,
Language spoken most often at home,"          Dravidian languages, n.i.e.",,10,
Language spoken most often at home,        Georgian,,75,
Language spoken most often at home,        Hmong-Mien languages,,0,
Language spoken most often at home,        Indo-European languages,,112245,
Language spoken most often at home,          Albanian,,610,
Language spoken most often at home,          Armenian,,140,
Language spoken most often at home,          Balto-Slavic languages,,12980,
Language spoken most often at home,            Baltic languages,,195,
Language spoken most often at home,              Latvian,,70,
Language spoken most often at home,              Lithuanian,,120,
Language spoken most often at home,            Slavic languages,,12790,
Language spoken most often at home,              Belarusian,,10,
Language spoken most often at home,              Bulgarian,,360,
Language spoken most often at home,              Czech,,345,
Language spoken most often at home,              Macedonian,,70,
Language spoken most often at home,              Polish,,2795,
Language spoken most often at home,              Russian,,6055,
Language spoken most often at home,              Rusyn,,0,
Language spoken most often at home,              Serbo-Croatian,,1860,
Language spoken most often at home,                Bosnian,,315,
Language spoken most often at home,                Croatian,,650,
Language spoken most often at home,                Serbian,,895,
Language spoken most often at home,"                Serbo-Croatian, n.i.e.",,10,
Language spoken most often at home,              Slovak,,350,
Language spoken most often at home,              Slovene (Slovenian),,35,
Language spoken most often at home,              Ukrainian,,905,
Language spoken most often at home,"              Slavic languages, n.i.e.",,0,
Language spoken most often at home,          Celtic languages,,15,
Language spoken most often at home,            Irish,,5,
Language spoken most often at home,            Scottish Gaelic,,0,
Language spoken most often at home,            Welsh,,5,
Language spoken most often at home,"            Celtic languages, n.i.e.",,5,
Language spoken most often at home,          Germanic languages,,1535,
Language spoken most often at home,            Frisian,,5,
Language spoken most often at home,            High German languages,,665,
Language spoken most often at home,              German,,640,
Language spoken most often at home,              Pennsylvania German,,0,
Language spoken most often at home,              Swiss German,,20,
Language spoken most often at home,              Yiddish,,10,
Language spoken most often at home,            Low Saxon-Low Franconian languages,,725,
Language spoken most often at home,              Afrikaans,,435,
Language spoken most often at home,              Dutch,,275,
Language spoken most often at home,"              Low German, n.o.s.",,0,
Language spoken most often at home,              Low Saxon,,0,
Language spoken most often at home,              Plautdietsch,,0,
Language spoken most often at home,              Vlaams (Flemish),,20,
Language spoken most often at home,            Scandinavian languages,,130,
Language spoken most often at home,              Danish,,40,
Language spoken most often at home,              Icelandic,,10,
Language spoken most often at home,              Norwegian,,15,
Language spoken most often at home,              Swedish,,70,
Language spoken most often at home,"            Germanic languages, n.i.e.",,0,
Language spoken most often at home,          Greek,,430,
Language spoken most often at home,          Indo-Iranian languages,,73220,
Language spoken most often at home,            Indo-Aryan languages,,64720,
Language spoken most often at home,              Assamese,,20,
Language spoken most often at home,              Bengali,,2905,
Language spoken most often at home,              Gujarati,,4045,
Language spoken most often at home,              Hindi,,5165,
Language spoken most often at home,              Kacchi,,565,
Language spoken most often at home,              Kashmiri,,50,
Language spoken most often at home,              Konkani,,70,
Language spoken most often at home,              Marathi,,565,
Language spoken most often at home,              Nepali,,1565,
Language spoken most often at home,              Oriya languages,,40,
Language spoken most often at home,                Odia,,25,
Language spoken most often at home,"                Oriya, n.o.s.",,15,
Language spoken most often at home,              Punjabi (Panjabi),,36445,
Language spoken most often at home,              Rohingya,,10,
Language spoken most often at home,              Sindhi,,165,
Language spoken most often at home,              Sinhala (Sinhalese),,520,
Language spoken most often at home,              Urdu,,12250,
Language spoken most often at home,"              Indo-Aryan languages, n.i.e.",,340,
Language spoken most often at home,            Iranian languages,,8490,
Language spoken most often at home,              Baluchi,,30,
Language spoken most often at home,              Kurdish,,735,
Language spoken most often at home,              Parsi,,10,
Language spoken most often at home,              Pashto,,1215,
Language spoken most often at home,              Persian languages,,6470,
Language spoken most often at home,                Dari,,1710,
Language spoken most often at home,                Iranian Persian,,3900,
Language spoken most often at home,"                Persian (Farsi), n.o.s.",,860,
Language spoken most often at home,"              Iranian languages, n.i.e.",,25,
Language spoken most often at home,"            Indo-Iranian languages, n.i.e.",,15,
Language spoken most often at home,          Italic (Romance) languages,,23265,
Language spoken most often at home,            Catalan,,25,
Language spoken most often at home,            Italian,,945,
Language spoken most often at home,            Portuguese,,2220,
Language spoken most often at home,            Romanian,,1980,
Language spoken most often at home,            Spanish,,18095,
Language spoken most often at home,"            Italic (Romance) languages, n.i.e.",,5,
Language spoken most often at home,"          Indo-European languages, n.i.e.",,40,
Language spoken most often at home,        Japanese,,1075,
Language spoken most often at home,        Korean,,7740,
Language spoken most often at home,        Mongolian,,305,
Language spoken most often at home,        Niger-Congo languages,,2045,
Language spoken most often at home,          Akan (Twi),,315,
Language spoken most often at home,          Bamanankan,,0,
Language spoken most often at home,          Edo,,5,
Language spoken most often at home,          �w�,,10,
Language spoken most often at home,"          Fulah (Pular, Pulaar, Fulfulde)",,45,
Language spoken most often at home,          Ga,,15,
Language spoken most often at home,          Ganda,,15,
Language spoken most often at home,          Gikuyu,,10,
Language spoken most often at home,          Igbo,,195,
Language spoken most often at home,          Kinyarwanda (Rwanda),,80,
Language spoken most often at home,          Lingala,,35,
Language spoken most often at home,          Luba-Kasai,,10,
Language spoken most often at home,          M�or�,,0,
Language spoken most often at home,          Mwani,,20,
Language spoken most often at home,          Ndebele,,40,
Language spoken most often at home,          Rundi (Kirundi),,55,
Language spoken most often at home,          Shona,,85,
Language spoken most often at home,          Soninke,,10,
Language spoken most often at home,          Sotho-Tswana languages,,5,
Language spoken most often at home,          Swahili,,275,
Language spoken most often at home,          Wojenaka,,0,
Language spoken most often at home,          Wolof,,50,
Language spoken most often at home,          Yoruba,,615,
Language spoken most often at home,"          Niger-Congo languages, n.i.e.",,150,
Language spoken most often at home,        Nilo-Saharan languages,,700,
Language spoken most often at home,          Dinka,,325,
Language spoken most often at home,          Nuer,,255,
Language spoken most often at home,"          Nilo-Saharan languages, n.i.e.",,120,
Language spoken most often at home,"          African, n.o.s.",,5,
Language spoken most often at home,        Sign languages,,380,
Language spoken most often at home,          American Sign Language,,295,
Language spoken most often at home,          Quebec Sign Language,,0,
Language spoken most often at home,"          Sign languages, n.i.e.",,80,
Language spoken most often at home,        Sino-Tibetan languages,,47145,
Language spoken most often at home,          Chinese languages,,46220,
Language spoken most often at home,            Hakka,,80,
Language spoken most often at home,            Mandarin,,23495,
Language spoken most often at home,            Min Dong,,5,
Language spoken most often at home,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,460,
Language spoken most often at home,            Wu (Shanghainese),,150,
Language spoken most often at home,            Yue (Cantonese),,21510,
Language spoken most often at home,"            Chinese, n.o.s.",,500,
Language spoken most often at home,"            Chinese languages, n.i.e.",,15,
Language spoken most often at home,          Tibeto-Burman languages,,910,
Language spoken most often at home,            Burmese,,160,
Language spoken most often at home,            Kuki-Chin languages,,85,
Language spoken most often at home,            Karenic languages,,165,
Language spoken most often at home,              S'gaw Karen,,125,
Language spoken most often at home,"              Karenic languages, n.i.e.",,40,
Language spoken most often at home,            Tibetan,,485,
Language spoken most often at home,"            Tibeto-Burman languages, n.i.e.",,10,
Language spoken most often at home,"          Sino-Tibetan languages, n.i.e.",,10,
Language spoken most often at home,        Tai-Kadai languages,,435,
Language spoken most often at home,          Lao,,175,
Language spoken most often at home,          Thai,,240,
Language spoken most often at home,"          Tai-Kadai languages, n.i.e.",,25,
Language spoken most often at home,        Turkic languages,,1135,
Language spoken most often at home,          Azerbaijani,,120,
Language spoken most often at home,          Kazakh,,15,
Language spoken most often at home,          Turkish,,910,
Language spoken most often at home,          Uyghur,,35,
Language spoken most often at home,          Uzbek,,40,
Language spoken most often at home,"          Turkic languages, n.i.e.",,25,
Language spoken most often at home,        Uralic languages,,1065,
Language spoken most often at home,          Estonian,,5,
Language spoken most often at home,          Finnish,,35,
Language spoken most often at home,          Hungarian,,1025,
Language spoken most often at home,"        Other languages, n.i.e.",,25,
Language spoken most often at home,  Multiple responses,,69870,
Language spoken most often at home,    English and French,,2485,
Language spoken most often at home,    English and non-official language(s),,64950,
Language spoken most often at home,    French and non-official language(s),,240,
Language spoken most often at home,"    English, French and non-official language(s)",,640,
Language spoken most often at home,    Multiple non-official languages,,1550,
Other language spoken regularly at home,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,42,1296115,
Other language spoken regularly at home,  None,,1038845,
Other language spoken regularly at home,  English,,97335,
Other language spoken regularly at home,  French,,9450,
Other language spoken regularly at home,  Non-official language,,116850,
Other language spoken regularly at home,    Indigenous,39,600,
Other language spoken regularly at home,    Non-Indigenous,,116250,
Other language spoken regularly at home,  English and French,,1235,
Other language spoken regularly at home,  English and non-official language(s),,15885,
Other language spoken regularly at home,  French and non-official language(s),,3285,
Other language spoken regularly at home,"  English, French and non-official language(s)",,190,
Other language spoken regularly at home,  Multiple non-official languages,,13040,
Knowledge of languages,Total - Knowledge of languages for the population in private households - 25% sample data,43,1291770,
Knowledge of languages,  Official languages,,1259370,
Knowledge of languages,    English,,1258480,
Knowledge of languages,    French,,86135,
Knowledge of languages,  Non-official languages,,518025,
Knowledge of languages,    Indigenous languages,39,1600,
Knowledge of languages,      Algonquian languages,,1045,
Knowledge of languages,        Blackfoot,,460,
Knowledge of languages,        Cree-Innu languages,,520,
Knowledge of languages,          Atikamekw,,0,
Knowledge of languages,          Cree languages,,520,
Knowledge of languages,            Ililimowin (Moose Cree),,0,
Knowledge of languages,            Inu Ayimun (Southern East Cree),,0,
Knowledge of languages,            Iyiyiw-Ayimiwin (Northern East Cree),,0,
Knowledge of languages,            Nehinawewin (Swampy Cree),,25,
Knowledge of languages,            Nehiyawewin (Plains Cree),,220,
Knowledge of languages,            Nihithawiwin (Woods Cree),,25,
Knowledge of languages,"            Cree, n.o.s.",,235,
Knowledge of languages,          Innu (Montagnais),,0,
Knowledge of languages,          Naskapi,,0,
Knowledge of languages,        Eastern Algonquian languages,,25,
Knowledge of languages,          Mi'kmaq,,25,
Knowledge of languages,          Wolastoqewi (Malecite),,0,
Knowledge of languages,        Ojibway-Potawatomi languages,,120,
Knowledge of languages,          Anicinabemowin (Algonquin),,0,
Knowledge of languages,          Oji-Cree,,0,
Knowledge of languages,          Ojibway languages,,120,
Knowledge of languages,            Anishinaabemowin (Chippewa),,15,
Knowledge of languages,            Daawaamwin (Odawa),,0,
Knowledge of languages,            Saulteau (Western Ojibway),,55,
Knowledge of languages,"            Ojibway, n.o.s.",,50,
Knowledge of languages,"        Algonquian languages, n.i.e.",,0,
Knowledge of languages,      Athabaskan languages,,225,
Knowledge of languages,        Northern Athabaskan languages,,215,
Knowledge of languages,          Dakelh (Carrier),,0,
Knowledge of languages,          Dane-zaa (Beaver),,0,
Knowledge of languages,"          Dene, n.o.s.",,25,
Knowledge of languages,          Gwich'in,,0,
Knowledge of languages,          Slavey-Hare languages,,10,
Knowledge of languages,            Deh Gah Ghotie Zhatie (South Slavey),,10,
Knowledge of languages,            Satuotine Yati (North Slavey),,0,
Knowledge of languages,"            Slavey, n.o.s.",,0,
Knowledge of languages,          Tahltan languages,,0,
Knowledge of languages,            Kaska (Nahani),,0,
Knowledge of languages,            Tahltan,,0,
Knowledge of languages,          Tlicho (Dogrib),,0,
Knowledge of languages,          Tse'khene (Sekani),,0,
Knowledge of languages,          Tsilhqot'in (Chilcotin),,0,
Knowledge of languages,          Tsuu T'ina (Sarsi),,170,
Knowledge of languages,          Tutchone languages,,0,
Knowledge of languages,            Northern Tutchone,,0,
Knowledge of languages,            Southern Tutchone,,0,
Knowledge of languages,"            Tutchone, n.o.s.",,0,
Knowledge of languages,          Wetsuwet'en-Babine,,0,
Knowledge of languages,        Tlingit,,10,
Knowledge of languages,"        Athabaskan languages, n.i.e.",,0,
Knowledge of languages,      Haida,,0,
Knowledge of languages,      Inuktut (Inuit) languages,,35,
Knowledge of languages,        Inuinnaqtun (Inuvialuktun),,0,
Knowledge of languages,          Inuinnaqtun,,0,
Knowledge of languages,          Inuvialuktun,,0,
Knowledge of languages,        Inuktitut,,35,
Knowledge of languages,"        Inuktut (Inuit) languages, n.i.e.",,0,
Knowledge of languages,      Iroquoian languages,,15,
Knowledge of languages,        Cayuga,,0,
Knowledge of languages,        Mohawk,,15,
Knowledge of languages,        Oneida,,0,
Knowledge of languages,"        Iroquoian languages, n.i.e.",,0,
Knowledge of languages,      Ktunaxa (Kutenai),,0,
Knowledge of languages,      Michif,,30,
Knowledge of languages,      Salish languages,,20,
Knowledge of languages,        Halkomelem,,0,
Knowledge of languages,        Lillooet,,0,
Knowledge of languages,        Ntlakapamux (Thompson),,0,
Knowledge of languages,        Secwepemctsin (Shuswap),,0,
Knowledge of languages,        Squamish,,0,
Knowledge of languages,        Straits,,0,
Knowledge of languages,        Syilx (Okanagan),,0,
Knowledge of languages,"        Salish languages, n.i.e.",,0,
Knowledge of languages,      Siouan languages,,215,
Knowledge of languages,        Assiniboine,,15,
Knowledge of languages,        Dakota,,20,
Knowledge of languages,        Stoney,,170,
Knowledge of languages,"        Siouan languages, n.i.e.",,35,
Knowledge of languages,      Tsimshian languages,,0,
Knowledge of languages,        Gitxsan (Gitksan),,0,
Knowledge of languages,        Nisga'a,,0,
Knowledge of languages,        Tsimshian,,0,
Knowledge of languages,      Wakashan languages,,15,
Knowledge of languages,        Haisla,,0,
Knowledge of languages,        Heiltsuk,,0,
Knowledge of languages,        Kwak'wala (Kwakiutl),,0,
Knowledge of languages,        Nuu-chah-nulth (Nootka),,0,
Knowledge of languages,"        Wakashan languages, n.i.e.",,0,
Knowledge of languages,"      Indigenous languages, n.i.e.",,0,
Knowledge of languages,"      Indigenous languages, n.o.s.",,20,
Knowledge of languages,    Non-Indigenous languages,,516570,
Knowledge of languages,      Afro-Asiatic languages,,52310,
Knowledge of languages,        Berber languages,,275,
Knowledge of languages,          Kabyle,,165,
Knowledge of languages,          Tamazight,,80,
Knowledge of languages,"          Berber languages, n.i.e.",,25,
Knowledge of languages,        Chadic languages,,350,
Knowledge of languages,          Hausa,,340,
Knowledge of languages,          Mina,,0,
Knowledge of languages,        Coptic,,85,
Knowledge of languages,        Cushitic languages,,4685,
Knowledge of languages,          Bilen,,235,
Knowledge of languages,          Oromo,,2085,
Knowledge of languages,          Somali,,2420,
Knowledge of languages,"          Cushitic languages, n.i.e.",,15,
Knowledge of languages,        Semitic languages,,48400,
Knowledge of languages,          Amharic,,8360,
Knowledge of languages,          Arabic,,33325,
Knowledge of languages,          Aramaic languages,,820,
Knowledge of languages,            Assyrian Neo-Aramaic,,345,
Knowledge of languages,            Chaldean Neo-Aramaic,,370,
Knowledge of languages,"            Aramaic, n.o.s.",,120,
Knowledge of languages,          Harari,,80,
Knowledge of languages,          Hebrew,,1975,
Knowledge of languages,          Maltese,,30,
Knowledge of languages,          Tigrigna,,7570,
Knowledge of languages,"          Semitic languages, n.i.e.",,125,
Knowledge of languages,      Austro-Asiatic languages,,19430,
Knowledge of languages,        Khmer (Cambodian),,1135,
Knowledge of languages,        Vietnamese,,18090,
Knowledge of languages,"        Austro-Asiatic languages, n.i.e",,270,
Knowledge of languages,      Austronesian languages,,70310,
Knowledge of languages,        Bikol,,505,
Knowledge of languages,"        Bisaya, n.o.s.",,1065,
Knowledge of languages,        Cebuano,,3285,
Knowledge of languages,        Fijian,,90,
Knowledge of languages,        Hiligaynon,,1265,
Knowledge of languages,        Ilocano,,6395,
Knowledge of languages,        Indonesian,,1175,
Knowledge of languages,        Kankanaey,,250,
Knowledge of languages,        Kinaray-a,,85,
Knowledge of languages,        Malagasy languages,,40,
Knowledge of languages,          Merina,,0,
Knowledge of languages,"          Malagasy, n.o.s.",,30,
Knowledge of languages,        Malay,,780,
Knowledge of languages,"        Pampangan (Kapampangan, Pampango)",,1130,
Knowledge of languages,        Pangasinan,,460,
Knowledge of languages,"        Tagalog (Pilipino, Filipino)",,66715,
Knowledge of languages,        Waray-Waray,,390,
Knowledge of languages,"        Austronesian languages, n.i.e.",,1700,
Knowledge of languages,      Creole languages,,1915,
